Country (or dependent territory),1985,%,1990,%.1,1995,%.2,2000,%.3,2005,%.4,2010,%.5,2015,%.6
Latvia,2607,0.64,2664,0.43,2481,-1.41,2369,-0.92,2259,-0.94,2116,-1.31,1987,-1.25
Lebanon,3177,1.83,3452,1.67,3673,1.25,3835,0.87,4139,1.54,4493,1.65,6185,6.6
Lesotho,1552,2.69,1704,1.88,1848,1.64,1917,0.73,1923,0.06,1920,-0.03,1948,0.29
Liberia,2162,3.08,2139,-0.22,1901,-2.34,2601,6.48,2931,2.41,3686,4.69,4196,2.63
Libya,3661,3.64,4099,2.29,4584,2.26,5025,1.85,5571,2.08,6111,1.87,6412,0.97
Liechtenstein,27,1.4,29,1.39,31,1.41,33,1.18,35,1.27,37,0.71,38,0.81
Lithuania,3588,0.87,3684,0.53,3510,-0.96,3490,-0.12,3327,-0.95,3089,-1.47,2885,-1.36
Luxembourg,368,0.15,383,0.85,410,1.35,439,1.37,468,1.29,510,1.73,571,2.29
Macau,306,3.64,352,2.84,402,2.67,432,1.47,475,1.89,568,3.68,593,0.86
Madagascar,10029,2.9,11633,3.01,13533,3.07,15713,3.03,18132,2.91,20847,2.83,23813,2.7
Malawi,7321,3.19,9360,5.04,9809,0.94,11130,2.56,12864,2.94,15183,3.37,17965,3.42
Malaysia,15650,3.06,17883,2.7,20340,2.61,23152,2.62,25969,2.32,28275,1.72,30514,1.54
Maldives,178,3.01,217,4.09,261,3.77,300,2.86,337,2.31,396,3.31,394,-0.12
Mali,7623,2.11,8487,2.17,9489,2.26,10788,2.6,12528,3.04,14583,3.09,16956,3.06
Malta,348,-0.95,360,0.69,377,0.97,390,0.68,399,0.44,407,0.41,414,0.35
Marshall Islands,39,4.5,46,3.69,50,1.61,54,1.35,60,2.17,66,2.19,73,1.85
Mauritania,1724,2.21,1925,2.24,2235,3.03,2501,2.28,2838,2.56,3206,2.46,3597,2.33
Mauritius,1021,1.15,1062,0.79,1124,1.13,1186,1.09,1243,0.94,1295,0.81,1340,0.7
Mexico,76601,2.31,84635,2.01,92584,1.81,99776,1.51,106577,1.33,114062,1.37,121737,1.31
Moldova,4149,0.75,4375,1.07,4356,-0.09,4181,-0.82,3949,-1.14,3732,-1.12,3547,-1.01
Monaco,29,1.2,30,1.24,31,0.62,32,0.6,32,-0.48,31,-0.33,31,-0.03
Mongolia,1860,2.35,2122,2.67,2307,1.69,2461,1.3,2603,1.13,2784,1.35,2993,1.46
Montenegro,561,0.02,584,0.8,671,2.83,733,1.78,700,-0.92,667,-0.95,648,-0.6
Montserrat,12,-0.77,11,-1.07,11,-0.87,4,-17.39,5,2.77,6,2.47,6,0.48
Morocco,21644,2.12,24000,2.09,26148,1.73,28114,1.46,29901,1.24,31628,1.13,33323,1.05
Mozambique,13294,1.89,12990,-0.46,15889,4.11,17997,2.52,20069,2.2,22418,2.24,25304,2.45
Myanmar,36766,1.98,40464,1.94,43994,1.69,47439,1.52,50573,1.29,53415,1.1,56321,1.07
Namibia,1205,2.62,1471,4.08,1682,2.72,1894,2.4,2029,1.39,2129,0.97,2213,0.78
Nauru,9,2.01,10,2.18,10,0.69,10,0.08,11,0.31,10,-1.54,10,0.58
Nepal,16570,2.47,18919,2.69,21877,2.95,24819,2.56,27094,1.77,28952,1.34,31552,1.73
Netherlands,14505,0.49,14966,0.63,15477,0.67,15931,0.58,16300,0.46,16574,0.33,16948,0.45
New Caledonia,153,1.82,169,2.05,192,2.57,212,1.95,233,1.93,253,1.66,272,1.48
New Zealand,3324,0.95,3414,0.53,3643,1.3,3803,0.86,4049,1.26,4253,0.99,4439,0.86
Nicaragua,3181,2.56,3644,2.76,4402,3.85,4867,2.03,5268,1.6,5605,1.25,5908,1.06
Niger,6870,2.43,7826,2.64,9111,3.09,10726,3.32,12783,3.57,15271,3.62,18046,3.4
Nigeria,84898,2.56,96685,2.63,109753,2.57,123946,2.46,141190,2.64,160342,2.58,181563,2.52
North Korea,18831,1.6,20452,1.67,22108,1.57,22785,0.61,23621,0.72,24326,0.59,24984,0.53
North Macedonia,1845,0.58,1862,0.18,1955,0.98,2015,0.61,2046,0.3,2073,0.26,2097,0.23
Northern Mariana Islands,22,4.83,45,15.54,58,5.38,70,4.02,71,0.27,54,-5.4,53,-0.44
Norway,4153,0.32,4243,0.43,4360,0.55,4493,0.6,4625,0.58,4892,1.13,5208,1.26
Oman,1498,4.78,1795,3.69,2139,3.57,2433,2.61,2697,2.09,2968,1.93,3287,2.06
Pakistan,102079,3.68,118817,3.08,134186,2.46,152430,2.58,169279,2.12,184405,1.73,199086,1.54
Palau,14,0.73,16,1.95,18,2.61,20,2.41,21,0.84,21,0.54,22,0.37
Palestine,1578,3.0,1899,3.77,2508,5.72,3111,4.4,3599,2.96,4120,2.74,4656,2.48
Panama,2168,2.04,2394,2.0,2639,1.97,2900,1.91,3156,1.7,3411,1.57,3658,1.4
Papua New Guinea,3229,2.55,3683,2.67,4216,2.74,4813,2.68,5440,2.48,6065,2.2,6673,1.93
Paraguay,3634,2.76,4201,2.94,4826,2.81,5419,2.34,5926,1.81,6376,1.48,6784,1.25
Peru,19380,2.3,21565,2.16,23864,2.05,25797,1.57,27443,1.24,28948,1.07,30445,1.01
Philippines,54589,2.48,61481,2.41,68472,2.18,76452,2.23,84965,2.13,93137,1.85,100999,1.63
Poland,37226,0.91,38120,0.48,38601,0.25,38655,0.03,38557,-0.05,38617,0.03,38563,-0.03
Portugal,9898,0.24,9923,0.05,10066,0.29,10336,0.53,10567,0.44,10736,0.32,10826,0.17
Puerto Rico,3383,1.05,3537,0.9,3684,0.81,3811,0.68,3822,0.06,3722,-0.53,3599,-0.67
Qatar,343,8.37,434,4.83,510,3.3,640,4.65,973,8.73,1720,12.07,2195,5.0
