NOC,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Gold-2004,Silver-2004,Bronze-2004,Total-2004,GDP-2004,GDP-2008,GDP-2012,GDP-2016,pop-2004,pop-2008,pop-2012,pop-2016
Trinidad and Tobago,1.0,1.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,21910.0,31159.0,30063,26390,1237,1229,1229,1223
Turkey,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,3.0,4.0,8.0,3.0,3.0,5.0,11.0,13045.0,17042.0,20504,26514,70465,74687,74687,79415
Dominican Republic,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,7608.0,10704.0,12208,16626,9165,9824,9824,10479
Chinese Taipei,1.0,0.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,0.0,2.0,3.0,2.0,2.0,1.0,5.0,26562.0,34952.0,41741,47272,22728,23127,23127,23416
Latvia,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,13507.0,20591.0,21298,26580,2259,2116,2116,1987
Algeria,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,10705.0,12701.0,13264,11543,32918,35950,35950,39543
Bahamas,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,29379.0,32690.0,33252,35239,297,311,311,325
Bahrain,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,44525.0,48244.0,54489,44834,916,1181,1181,1347
Grenada,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9015.0,11565.0,11164,15026,105,108,108,111
Uganda,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.0,2181.0,2373,2359,26917,31508,31508,37102
Venezuela,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,12194.0,17706.0,18553,14213,25270,27224,27224,29276
Egypt,0.0,3.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,5.0,7484.0,9831.0,11620,11616,72544,80472,80472,88488
India,0.0,2.0,4.0,6.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2474.0,3529.0,4861,5840,1090974,1173109,1173109,1251696
Mongolia,0.0,2.0,3.0,5.0,2.0,2.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,5083.0,7227.0,10074,10524,2603,2784,2784,2993
Thailand,0.0,2.0,2.0,4.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,6.0,3.0,1.0,4.0,8.0,9611.0,12256.0,14871,16616,65113,66721,66721,67977
Bulgaria,0.0,2.0,1.0,3.0,1.0,1.0,3.0,5.0,0.0,1.0,2.0,3.0,2.0,1.0,9.0,12.0,9965.0,14638.0,16295,20091,7612,7392,7392,7187
Finland,0.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,33076.0,41130.0,40969,44995,5239,5355,5355,5477
Indonesia,0.0,2.0,1.0,3.0,1.0,1.0,4.0,6.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,4.0,5859.0,7850.0,9834,10619,229245,243423,243423,255994
Slovakia,0.0,1.0,3.0,4.0,3.0,3.0,0.0,6.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,6.0,16258.0,24471.0,26983,29681,5408,5427,5427,5446
Belgium,0.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,2.0,3.0,33545.0,39760.0,42409,48680,10470,10866,10866,11324
Armenia,0.0,1.0,1.0,2.0,0.0,1.0,4.0,5.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,4562.0,8111.0,9094,10502,3085,3072,3072,3057
Estonia,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,17965.0,24997.0,25996,31310,1332,1303,1303,1266
Malaysia,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,15279.0,19711.0,22963,24780,25969,28275,28275,30514
Puerto Rico,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28990.0,30775.0,32583,34300,3822,3722,3722,3599
Qatar,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,119823.0,118534.0,169698,84269,973,1720,1720,2195
