NOC,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Gold-2004,Silver-2004,Bronze-2004,Total-2004,Country,GDP-2004,GDP-2008,GDP-2012,GDP-2016
Bahamas,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,Bahamas,29379.0,32690.0,33252.0,35239.0
Bahrain,1.0,0.0,0.0,1.0,,,,,1.0,1.0,0.0,2.0,,,,,Bahrain,44525.0,48244.0,54489.0,44834.0
Grenada,1.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,Grenada,9015.0,11565.0,11164.0,15026.0
Uganda,1.0,0.0,0.0,1.0,,,,,,,,,,,,,Uganda,1597.0,2181.0,2373.0,2359.0
Venezuela,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,Venezuela,12194.0,17706.0,18553.0,14213.0
Egypt,0.0,3.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,3.0,5.0,Egypt,7484.0,9831.0,11620.0,11616.0
India,0.0,2.0,4.0,6.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,India,2474.0,3529.0,4861.0,5840.0
Mongolia,0.0,2.0,3.0,5.0,2.0,2.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,Mongolia,5083.0,7227.0,10074.0,10524.0
Thailand,0.0,2.0,2.0,4.0,2.0,2.0,2.0,6.0,2.0,2.0,3.0,7.0,3.0,1.0,4.0,8.0,Thailand,9611.0,12256.0,14871.0,16616.0
Bulgaria,0.0,2.0,1.0,3.0,1.0,1.0,3.0,5.0,0.0,1.0,2.0,3.0,2.0,1.0,9.0,12.0,Bulgaria,9965.0,14638.0,16295.0,20091.0
Finland,0.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,Finland,33076.0,41130.0,40969.0,44995.0
