Country (or dependent territory),1985,%,1990,%.1,1995,%.2,2000,%.3,2005,%.4,2010,%.5,2015,%.6
Greenland,54000,1150.0,56000,920.0,57000,200.0,57000,250.0,58000,310.0,58000,-50.0,58000,30.0
Grenada,94000,630.0,95000,240.0,98000,740.0,102000,780.0,105000,580.0,108000,610.0,111000,530.0
Guam,121000,2450.0,135000,2150.0,145000,1460.0,156000,1500.0,159000,390.0,160000,130.0,162000,290.0
Guatemala,7581000,2660.0,8966000,3410.0,10028000,2260.0,11086000,2020.0,12183000,1910.0,13551000,2150.0,14919000,1940.0
Guernsey,56000,670.0,63000,2570.0,61000,-530.0,62000,320.0,64000,380.0,65000,510.0,67000,400.0
Guinea,5227000,3280.0,6119000,3200.0,7446000,4000.0,8351000,2320.0,9154000,1850.0,10325000,2440.0,11781000,2670.0
Guinea-Bissau,886000,2330.0,996000,2390.0,1144000,2800.0,1279000,2270.0,1415000,2029.9999999999998,1566000,2050.0,1727000,1980.0
Guyana,763000,80.0,772000,240.0,769000,-70.0,785000,410.0,775000,-260.0,746000,-760.0,736000,-290.0
Haiti,6120000,2130.0,6798000,2120.0,7571000,2180.0,8413000,2130.0,9205000,1820.0,9649000,950.0,10111000,940.0
Honduras,4078000,3690.0,4795000,3290.0,5551000,2970.0,6360000,2760.0,7194000,2490.0,7990000,2120.0,8747000,1830.0
Hong Kong,5457000,1510.0,5688000,840.0,6223000,1810.0,6656000,1360.0,6905000,740.0,7030000,360.0,7142000,320.0
Hungary,10649000,-120.0,10372000,-530.0,10281000,-180.0,10148000,-260.0,10058000,-180.0,9993000,-130.0,9898000,-190.0
Iceland,242000,1130.0,255000,1080.0,268000,990.0,282000,990.0,297000,1090.0,318000,1390.0,332000,870.0
India,759613000,2090.0,838159000,1990.0,920585000,1890.0,1006301000,1800.0,1090974000,1630.0,1173109000,1460.0,1251696000,1310.0
Indonesia,166070000,2009.9999999999998,181600000,1800.0,197604000,1700.0,214091000,1620.0,229245000,1380.0,243423000,1210.0,255994000,1010.0
Iran,48619000,4130.0,58101000,3630.0,64218000,2020.0,68632000,1340.0,72283000,1040.0,76924000,1250.0,81825000,1240.0
Iraq,15694000,3470.0,18140000,2940.0,19658000,1620.0,23129000,3300.0,27538000,3550.0,30527000,2080.0,37057000,3950.0
Ireland,3541000,800.0,3509000,-180.0,3614000,600.0,3823000,1130.0,4200000,1900.0,4623000,1940.0,4893000,1140.0
Isle of Man,65000,100.0,69000,1340.0,73000,1010.0,76000,920.0,80000,1010.0,84000,1050.0,88000,860.0
Israel,4050000,1710.0,4460000,1950.0,5335000,3650.0,6098000,2710.0,6726000,1980.0,7369000,1840.0,8050000,1780.0
Italy,56719000,90.0,56714000,0.0,57295000,200.0,57785000,170.0,59038000,430.0,60749000,570.0,61856000,360.0
Ivory Coast,10332000,3750.0,12491000,3870.0,14846000,3510.0,16885000,2610.0,18921000,2300.0,21059000,2160.0,23296000,2040.0
Jamaica,2319000,790.0,2348000,250.0,2470000,1020.0,2616000,1160.0,2737000,910.0,2848000,800.0,2951000,710.0
Japan,120755000,670.0,123538000,460.0,125328000,290.0,126776000,230.0,127716000,150.0,127580000,-20.0,126920000,-100.0
Jersey,80000,1050.0,84000,990.0,85000,330.0,88000,560.0,89000,250.0,94000,1080.0,98000,830.0
Jordan,2669000,4040.0,3321000,4470.0,4249000,5050.0,4786000,2400.0,5363000,2310.0,6501000,3920.0,8118000,4540.0
Kazakhstan,15999000,1300.0,16776000,950.0,16390000,-460.0,15688000,-870.0,16123000,550.0,17085000,1170.0,18158000,1220.0
Kenya,19763000,3890.0,23361000,3400.0,27164000,3060.0,30606000,2420.0,35247000,2860.0,40844000,2990.0,45926000,2370.0
Kiribati,63000,1520.0,72000,2820.0,77000,1430.0,86000,2150.0,93000,1700.0,100000,1450.0,106000,1220.0
Kosovo,1683000,2029.9999999999998,1862000,2050.0,2029000,1730.0,1701000,-3470.0,1768000,780.0,1816000,530.0,1871000,610.0
Kuwait,1733000,4810.0,2132000,4230.0,1665000,-4820.0,1973000,3450.0,2257000,2730.0,2544000,2420.0,2789000,1860.0
Kyrgyzstan,4062000,2270.0,4484000,2000.0,4621000,600.0,4938000,1340.0,5165000,900.0,5411000,940.0,5665000,920.0
Laos,3658000,2120.0,4211000,2860.0,4847000,2850.0,5398000,2180.0,5837000,1580.0,6369000,1760.0,6912000,1650.0
Latvia,2607000,640.0,2664000,430.0,2481000,-1410.0,2369000,-920.0,2259000,-940.0,2116000,-1310.0,1987000,-1250.0
Lebanon,3177000,1830.0,3452000,1670.0,3673000,1250.0,3835000,870.0,4139000,1540.0,4493000,1650.0,6185000,6600.0
Lesotho,1552000,2690.0,1704000,1880.0,1848000,1640.0,1917000,730.0,1923000,60.0,1920000,-30.0,1948000,290.0
Liberia,2162000,3080.0,2139000,-220.0,1901000,-2340.0,2601000,6480.0,2931000,2410.0,3686000,4690.0,4196000,2630.0
Libya,3661000,3640.0,4099000,2290.0,4584000,2260.0,5025000,1850.0,5571000,2080.0,6111000,1870.0,6412000,970.0
Liechtenstein,27000,1400.0,29000,1390.0,31000,1410.0,33000,1180.0,35000,1270.0,37000,710.0,38000,810.0
Lithuania,3588000,870.0,3684000,530.0,3510000,-960.0,3490000,-120.0,3327000,-950.0,3089000,-1470.0,2885000,-1360.0
Luxembourg,368000,150.0,383000,850.0,410000,1350.0,439000,1370.0,468000,1290.0,510000,1730.0,571000,2290.0
Macau,306000,3640.0,352000,2840.0,402000,2670.0,432000,1470.0,475000,1890.0,568000,3680.0,593000,860.0
